#{"t_start": 1734423170.010326, "env_id": "None"}
r,l,t
108.752945,1000,3035.390709
589.53906,1000,3035.938123
154.92133,682,3042.534462
413.41946,1000,3080.652448
379.16235,1000,3085.142683
221.54987,1000,3091.756226
282.45575,1000,3094.041751
343.3291,1000,3094.041801
7.4937286,754,3122.929091
328.5665,1000,3140.838001
3.814064,244,3146.953099
612.605,1000,3201.268565
299.3353,1000,3214.574587
484.22443,1000,3250.932612
320.87076,1000,3251.494695
112.386314,1000,3261.203416
525.00885,1000,3261.203468
589.9018,1000,3261.203486
477.4143,1000,3261.203498
387.41638,1000,3261.203509
342.99203,1000,3261.20352
382.9892,1000,3261.20353
581.20764,1000,3261.20354
149.99525,1000,3261.20355
562.8373,1000,3261.20356
274.99603,1000,3261.20357
241.45886,1000,3261.20358
237.87924,1000,3261.20359
303.84265,1000,3261.203599
354.2547,1000,3261.203609
312.64655,1000,3261.203619
539.7164,1000,3261.203628
85.453896,1000,3261.203638
204.02448,1000,3261.203648
390.1916,1000,3261.203658
229.96146,1000,3261.203667
313.03903,1000,3261.203677
211.35287,1000,3261.203687
392.95273,1000,3261.203696
379.66983,1000,3261.203706
299.99554,1000,3261.203715
184.63945,1000,3261.203725
253.56717,1000,3261.203734
307.0147,1000,3261.203744
497.4458,1000,3261.203753
429.61185,1000,3261.203763
471.9386,1000,3261.203773
335.7323,1000,3261.203782
173.3071,1000,3261.203792
148.4426,1000,3261.203801
132.02153,1000,3261.203811
160.18323,1000,3261.20382
323.90915,1000,3261.20383
222.69089,1000,3261.20384
649.1738,1000,3261.203849
460.80695,1000,3261.203859
410.86542,1000,3261.203869
149.29512,1000,3261.203878
382.0799,1000,3261.203887
241.93262,1000,3261.203897
622.0252,1000,3261.203907
148.38264,1000,3261.203916
205.64307,1000,3261.203926
209.67291,1000,3261.203936
432.8415,1000,3261.203946
366.43933,1000,3261.203955
232.3397,1000,3261.203965
241.17172,1000,3261.203974
560.4579,1000,3261.203984
445.45004,1000,3261.203994
491.27142,1000,3261.204003
298.5463,1000,3261.204013
359.27838,1000,3261.204022
443.32947,1000,3261.204032
414.9461,1000,3261.204041
237.5351,1000,3261.204051
544.69763,1000,3261.204067
