#{"t_start": 1734444340.750059, "env_id": "None"}
r,l,t
67.93939,1000,3935.825509
386.84033,1000,3952.140089
-62.96264,1000,3960.374576
-32.861958,1000,3965.60398
54.36332,1000,3966.633297
-0.3824829,1000,3967.039575
-19.860147,1000,3969.712966
-25.925564,1000,3973.62931
-19.29775,1000,3981.515439
426.87646,1000,3986.381777
475.5378,1000,3991.636909
458.04855,1000,4008.12256
88.85228,1000,4016.377015
118.93096,1000,4021.527158
11.111495,1000,4022.533243
117.54519,1000,4023.021424
-46.32743,1000,4025.615039
-71.43827,735,4027.401197
563.9147,1000,4029.389439
483.3293,1000,4037.232145
-24.764948,1000,4047.189736
476.46906,1000,4063.541911
179.56995,1000,4071.749396
-5.7231636,1000,4077.098316
365.56998,1000,4078.115077
-29.765598,1000,4078.516307
646.93695,1000,4081.11974
179.21658,1000,4082.947083
501.87592,1000,4084.969158
433.80338,1000,4092.86608
423.5063,1000,4102.907009
461.59064,1000,4119.240345
915.10156,849,4125.634594
558.91473,1000,4127.458913
430.5306,1000,4132.758124
298.51965,1000,4133.841965
444.21396,1000,4137.007338
721.8803,1000,4138.898966
580.00024,1000,4140.968287
299.3474,1000,4149.067693
745.4291,1000,4159.28558
634.3265,1000,4175.876079
625.86035,1000,4182.377056
365.98257,1000,4184.186568
700.00507,1000,4189.402256
613.79565,1000,4190.421714
518.4652,1000,4193.406103
740.5877,1000,4195.22253
278.37445,1000,4197.265934
220.13919,1000,4205.188298
451.01685,1000,4215.168627
436.1165,1000,4231.563546
12.629017,1000,4238.44122
-29.99974,1000,4240.233918
280.76965,990,4244.886518
167.9947,1000,4246.479726
423.4857,1000,4249.549743
241.534,1000,4251.408551
567.7791,1000,4253.456807
546.5097,1000,4261.342194
282.2479,1000,4271.282357
-29.031958,1000,4287.574998
331.43304,1000,4293.891145
283.55667,1000,4295.683751
168.4515,1000,4300.368541
549.26685,1000,4301.926732
253.1864,1000,4304.966849
150.82016,1000,4306.847651
500.70154,1000,4309.004037
537.67755,1000,4317.095945
220.98294,1000,4327.125987
489.6388,1000,4343.496069
241.13205,1000,4349.913886
303.84436,1000,4351.715853
668.0721,1000,4356.369549
775.9184,1000,4357.954484
306.24487,1000,4360.994458
327.5567,1000,4362.844567
513.4716,1000,4364.887506
464.77985,1000,4372.816084
37.762375,192,4373.633672
361.814,1000,4382.894037
-106.396065,631,4387.067571
106.510284,388,4394.503419
39.159912,1000,4399.409368
283.04724,1000,4405.840015
-113.21319,845,4408.248275
155.03275,1000,4412.328097
320.88412,1000,4413.927006
202.7218,1000,4420.884075
810.39746,1000,4429.691195
561.83057,1000,4439.027836
475.3924,1000,4443.206505
571.0933,1000,4450.819465
429.79776,1000,4455.857361
-36.980392,778,4457.997992
437.15805,1000,4462.430714
570.00085,1000,4464.897252
364.61154,1000,4469.066381
115.94286,1000,4477.627959
261.10648,1000,4486.449332
738.28973,1000,4495.828753
528.2037,1000,4500.013298
425.9703,1000,4507.619484
750.368,1000,4512.525538
322.0737,1000,4514.638646
462.95786,1000,4519.173681
236.33261,1000,4521.651206
415.24918,1000,4525.792269
179.46083,1000,4534.380733
704.206,1000,4543.24547
435.47867,1000,4552.721034
206.28836,864,4556.79272
312.13586,1000,4556.935609
350.16714,1000,4569.583277
-22.845596,974,4570.216811
625.7548,1000,4576.048979
142.7138,1000,4578.492187
349.99875,1000,4582.586964
557.80725,1000,4591.024195
152.70233,1000,4599.587278
214.48251,1000,4608.698391
529.08826,1000,4612.669487
366.04486,1000,4612.812606
91.98512,446,4615.59869
481.8761,1000,4625.211899
192.77075,1000,4625.848665
360.11887,1000,4631.683166
331.29315,1000,4634.108983
