#{"t_start": 1734382690.4546685, "env_id": "None"}
r,l,t
279.7421,1000,2397.842546
798.7985,1000,2399.919047
572.29846,1000,2405.943351
646.4275,1000,2407.665434
313.1899,1000,2412.508356
156.32439,1000,2418.420307
233.3287,1000,2423.779197
826.83636,1000,2425.175988
299.99527,1000,2439.600551
340.85516,1000,2448.284597
772.1801,1000,2451.466054
693.5494,1000,2453.577194
279.557,1000,2459.639883
486.53497,1000,2461.320361
825.9351,1000,2466.078328
709.6884,1000,2472.060285
562.5749,1000,2477.480433
893.08905,1000,2478.873644
570.2477,1000,2493.071719
309.51947,1000,2551.345699
682.61847,1000,2554.548052
251.77377,1000,2556.613064
344.05182,1000,2562.699264
817.3019,1000,2564.357034
280.61823,1000,2569.132117
499.2583,1000,2575.085193
475.43988,1000,2580.551388
299.99753,1000,2581.991371
842.45526,1000,2596.662347
602.2011,1000,2605.425415
825.60364,1000,2608.590667
896.4883,1000,2610.673123
657.89453,1000,2616.723395
601.0417,1000,2618.38836
355.4745,1000,2623.296852
718.1811,1000,2629.248768
861.0954,1000,2634.624149
692.3955,1000,2636.02932
922.3053,777,2638.425405
365.1153,1000,2659.152687
399.99585,1000,2712.032466
896.03735,1000,2714.136863
675.5071,1000,2720.24462
574.3503,1000,2721.933803
525.4157,1000,2726.829781
480.52628,1000,2732.802359
910.9078,891,2733.78447
48.277184,1000,2738.245038
573.0201,1000,2742.099286
885.971,1000,2763.050105
861.4106,1000,2766.218288
389.65027,1000,2768.335658
258.54813,1000,2774.46637
84.1137,1000,2776.164381
227.96959,1000,2780.993516
417.6815,1000,2787.016566
843.2712,1000,2788.02227
806.58575,1000,2792.615236
217.456,1000,2796.500504
924.00635,760,2815.795192
437.03546,1000,2817.382719
557.15186,1000,2820.568397
889.557,1000,2872.405204
579.06476,1000,2880.276273
264.15906,1000,2885.148235
911.10406,889,2886.126825
834.2608,1000,2891.119539
641.37604,1000,2896.518816
864.43353,1000,2900.325466
855.4829,1000,2919.570512
885.1421,1000,2921.125195
106.66325,1000,2924.271101
112.95913,1000,2926.355803
227.75436,1000,2934.015248
310.90445,1000,2938.760558
713.39124,1000,2939.738455
179.71538,1000,2944.745537
200.28662,1000,2950.322844
330.50354,1000,2954.172757
611.8661,1000,2974.035397
437.24985,1000,2975.666267
811.4417,1000,2978.996747
573.6085,1000,2981.186448
367.31543,1000,3038.940776
612.7763,1000,3043.992691
227.8642,1000,3045.031906
491.35785,1000,3050.146344
658.21295,1000,3055.695359
273.90875,1000,3059.579648
101.27515,1000,3078.700633
202.54349,1000,3080.26756
560.2053,1000,3083.419549
574.0032,1000,3085.494715
668.69415,1000,3093.299243
901.50433,985,3097.313614
882.08466,1000,3099.095218
597.4615,1000,3104.094051
488.23035,1000,3109.49618
378.76303,1000,3113.303618
889.7284,1000,3132.517981
881.7586,1000,3134.081015
896.34515,1000,3137.250135
704.2892,1000,3139.360432
838.8589,1000,3196.750347
