#{"t_start": 1734491947.5155394, "env_id": "None"}
r,l,t
168.0412,1000,12796.318777
90.47755,1000,12796.318786
94.245766,1000,12796.318796
84.56488,1000,12796.318805
10.368841,1000,12796.318815
100.73113,1000,12796.318825
303.5691,1000,12796.318834
28.666428,415,12813.561452
202.71968,1000,12855.151407
216.82896,1000,12938.070626
18.75099,1000,12952.8302
335.71164,1000,12960.215972
21.956017,314,12975.078103
-123.05437,915,12983.677718
-36.841866,1000,12984.763134
-42.424004,1000,13020.118636
-30.656633,1000,13115.651186
127.891495,1000,13119.553347
109.38558,1000,13133.248377
-9.937245,1000,13139.04153
51.338455,691,13150.459208
49.020355,1000,13167.028972
36.987656,1000,13168.259146
10.293411,667,13176.199177
354.54254,1000,13179.03266
159.2572,1000,13183.629956
-40.60961,690,13189.443736
491.09177,1000,13209.507549
-33.50493,872,13220.961707
270.7466,1000,13230.68996
229.11179,1000,13230.690012
72.0444,1000,13236.372333
303.03873,1000,13239.90005
123.99859,1000,13243.92501
283.60754,1000,13252.408181
18.253555,805,13255.389674
-15.788911,1000,13269.116717
77.08446,1000,13270.743263
33.83018,1000,13278.845722
32.7174,1000,13294.931469
-37.673332,876,13296.019194
297.16144,1000,13302.897282
-72.13858,897,13308.164292
140.87709,1000,13310.470168
64.17869,1000,13322.459063
228.85762,1000,13324.418372
-26.585793,928,13326.04408
189.8545,1000,13326.738513
264.58084,1000,13327.291139
553.2839,1000,13328.377976
134.04239,1000,13334.712418
227.39902,1000,13338.76322
-25.1698,1000,13347.921685
213.47612,1000,13349.70689
126.41633,1000,13349.706939
348.76083,1000,13352.00631
251.25122,1000,13354.843613
15.265877,1000,13363.431891
224.99622,1000,13368.08025
208.51103,1000,13368.080298
70.089035,1000,13368.080315
274.5547,1000,13368.080328
76.03057,1000,13368.080338
81.50756,1000,13368.080349
356.0804,1000,13368.080359
-7.800731,1000,13368.08037
-41.176216,1000,13368.08038
172.72485,1000,13368.08039
260.2919,1000,13368.0804
232.14127,1000,13368.080409
1.8872325,1000,13368.08042
88.49905,1000,13368.08043
123.27149,1000,13368.080439
166.66318,1000,13368.080449
66.66612,1000,13368.080459
-42.85688,1000,13368.080469
116.21747,1000,13368.080479
171.12645,1000,13368.080489
235.48077,1000,13368.080498
369.32355,1000,13368.080508
321.4256,1000,13368.080518
207.95537,1000,13368.080528
182.1425,1000,13368.080537
273.2348,1000,13368.080547
56.978058,1000,13368.080557
222.34393,1000,13368.080567
382.14224,1000,13368.080577
251.43335,1000,13368.080586
293.61786,1000,13368.080595
15.524542,1000,13368.080605
362.68512,1000,13368.080615
144.60333,1000,13368.080625
296.606,1000,13368.080635
106.58818,1000,13368.080645
75.863,1000,13368.080655
304.6013,1000,13368.080664
99.302,1000,13368.080674
138.09616,1000,13368.080683
32.53036,1000,13368.080693
69.74301,1000,13368.080703
82.45444,1000,13368.080713
-9.090745,1000,13368.080723
-32.475636,1000,13368.080732
105.129005,1000,13368.080742
53.84752,1000,13368.080752
80.68676,1000,13368.080761
390.11548,1000,13368.080771
63.764442,1000,13385.338925
283.55902,1000,13427.188439
27.566216,380,13458.637423
151.42584,923,13466.556074
-29.779419,885,13482.054455
45.166214,216,13491.771453
243.64197,1000,13525.571799
199.6261,1000,13532.997962
154.07169,1000,13556.575585
233.32927,1000,13557.6639
-18.088217,1000,13593.3878
16.841187,794,13595.013593
-40.72972,758,13619.126157
-14.396584,483,13644.848551
-31.071564,527,13670.000453
252.53754,1000,13689.510154
125.70604,1000,13693.419493
328.56744,1000,13707.117343
204.04953,1000,13724.302741
10.132416,190,13727.653499
291.59833,641,13735.14586
143.74088,648,13739.024362
224.99788,1000,13740.77743
299.2913,1000,13742.001951
267.002,1000,13749.888031
89.83172,1000,13752.704397
414.38705,1000,13763.01609
-33.923706,934,13766.373391
267.39713,927,13775.462666
43.614914,436,13782.291103
136.84166,1000,13782.989466
-15.423134,729,13785.289411
122.909676,1000,13794.452284
170.46089,1000,13804.145525
-85.39021,764,13805.231618
-51.88836,766,13806.461157
201.7525,1000,13809.825998
211.11024,1000,13825.831834
461.79608,1000,13828.811695
109.23192,1000,13842.551169
135.88974,830,13843.104778
345.57462,1000,13844.191374
307.2821,1000,13852.298685
336.16818,1000,13868.371723
245.06879,1000,13869.463272
336.30164,1000,13876.357378
253.8424,1000,13881.626855
127.414444,1000,13883.931042
324.74585,1000,13895.896638
224.3207,1000,13897.666139
78.82109,334,13898.219406
41.415527,1000,13899.310475
359.99942,1000,13900.005939
363.08304,1000,13900.562446
240.57791,1000,13901.654927
113.31589,934,13902.889751
141.03923,1000,13908.030028
214.07733,1000,13912.087279
267.34232,1000,13921.265182
248.27568,1000,13923.050477
-10.505166,1000,13923.050526
66.66734,1000,13925.361474
297.1588,1000,13928.214389
302.43463,1000,13936.86903
346.8078,1000,13941.568607
417.35846,1000,13941.568654
406.61923,1000,13941.568671
207.42,1000,13941.568683
335.6406,1000,13941.568694
283.86884,1000,13941.568704
206.05829,1000,13941.568714
275.44894,1000,13941.568724
253.13081,1000,13941.568734
206.81746,1000,13941.568744
312.89844,1000,13941.568754
77.56989,1000,13941.568764
463.33304,1000,13941.568774
291.13937,1000,13941.568784
96.492645,1000,13941.568793
238.07904,1000,13941.568803
360.7493,1000,13941.568812
286.07147,1000,13941.568822
130.21632,1000,13941.568831
285.13077,1000,13941.568841
111.0089,1000,13941.568851
305.1046,1000,13941.56886
309.0883,1000,13941.56887
101.29938,1000,13941.56888
308.1606,1000,13941.568889
156.49446,1000,13941.568899
356.68814,1000,13941.568908
173.04993,1000,13941.568918
100.693344,1000,13941.568927
274.51474,1000,13941.568937
272.26285,1000,13941.568947
-12.891632,1000,13941.568957
37.458397,1000,13941.568967
107.43155,1000,13941.568976
162.5876,1000,13941.568986
489.47314,1000,13941.568996
238.55307,1000,13941.569005
264.90747,1000,13941.569015
318.12418,1000,13941.569025
195.23674,1000,13958.858037
-77.98076,523,13989.778099
423.17566,1000,14000.762141
475.8572,1000,14032.402049
112.11886,1000,14040.386689
63.342667,543,14053.041588
9.155699,1000,14055.880338
6.8657837,201,14057.112588
53.817383,281,14060.495181
132.87471,1000,14065.623567
239.92978,1000,14099.326274
54.28444,601,14127.815609
108.47007,1000,14130.118121
381.09644,1000,14131.205301
-2.264595,419,14148.843364
253.38135,1000,14166.503451
269.9631,1000,14168.1218
316.36807,1000,14217.741787
276.7593,1000,14242.868385
353.3725,1000,14266.267303
-22.104858,669,14286.222799
-79.85482,777,14287.99316
255.46533,916,14287.99321
313.18994,1000,14297.11756
487.62506,1000,14300.478137
368.63202,1000,14307.99959
452.28296,1000,14311.890001
-11.41967,446,14314.878113
589.4166,1000,14314.878166
263.96616,1000,14322.980349
164.98099,1000,14325.810043
242.27945,1000,14339.493448
392.95236,1000,14348.625559
145.94122,1000,14356.159987
184.6935,1000,14358.449919
202.835,1000,14367.572477
138.09029,1000,14377.257921
459.56152,1000,14378.337322
225.87502,1000,14379.567909
403.59296,1000,14382.942884
191.66187,1000,14398.947685
405.15015,1000,14401.927637
174.33167,1000,14416.198083
393.5027,1000,14417.287613
422.1476,1000,14425.364308
300.59784,1000,14441.353988
69.232025,1000,14442.43715
59.999886,1000,14449.302988
340.2941,1000,14454.566733
210.45322,1000,14456.868803
160.86517,1000,14468.791888
244.70679,1000,14470.54768
357.62292,1000,14472.162073
37.038445,1000,14472.854571
628.12634,1000,14473.40466
626.3207,1000,14474.48828
175.75323,1000,14484.808891
289.23615,1000,14493.895474
425.47382,1000,14495.672068
167.29254,1000,14495.672118
335.28976,1000,14497.96555
253.73706,1000,14500.796614
264.70084,1000,14509.373634
218.33456,1000,14513.826971
221.76288,1000,14513.827018
494.49805,1000,14513.827034
97.84042,1000,14513.827046
393.54465,1000,14513.827056
439.2826,1000,14513.827067
250.16422,1000,14513.827077
257.3628,1000,14513.827087
249.54007,1000,14513.827096
345.2505,1000,14513.827106
240.13348,1000,14513.827115
218.46686,1000,14513.827125
449.99698,1000,14513.827134
495.5026,1000,14513.827144
208.67776,1000,14513.827153
247.55615,1000,14513.827163
368.86063,1000,14513.827172
318.5266,1000,14513.827181
295.51788,1000,14513.827191
391.5205,1000,14513.8272
196.66197,1000,14513.827209
239.21771,1000,14513.827219
318.52643,1000,14513.827228
325.16553,1000,14513.827244
197.73053,1000,14513.827253
284.61087,1000,14513.827263
342.30545,1000,14513.827272
172.39691,1000,14513.827282
521.7269,1000,14513.827291
96.92123,1000,14513.8273
43.970272,1000,14513.82731
811.3485,1000,14513.827319
123.72549,1000,14513.827328
213.58401,1000,14513.827338
156.16882,1000,14513.827347
380.76526,1000,14513.827356
188.53328,1000,14513.827365
204.6109,1000,14513.827375
138.27774,1000,14530.900251
34.32968,1000,14561.775743
275.81216,1000,14572.689127
-16.666128,1000,14603.933352
141.8772,1000,14611.80131
61.0745,1000,14624.383728
493.6232,1000,14627.211627
353.92148,1000,14628.440279
195.13501,1000,14636.895898
458.06146,1000,14670.405598
452.72363,1000,14698.754298
203.8835,1000,14701.037954
544.1966,1000,14702.117776
465.36584,1000,14719.733656
50.889664,365,14721.485906
75.708786,488,14735.117382
216.3241,1000,14737.40409
214.8742,1000,14739.016544
55.506927,861,14757.854004
189.7493,1000,14788.415517
79.154335,1000,14813.325243
